tnsName,n_hosts,z_type,distance_Mpc,uncertainty_Mpc,lumdist_neg_err,lumdist_pos_err,gw_test_mean,gw_test_std,bc,bc_norm,Conditional JSD Metric,Consistent Probability,Improved Consistent Probability,Hybrid Consistent Probability,Hybrid BC/Tophat,Hybrid BC/Tophat V3,ra,dec,photoz,notes
AT2025aimd,7,spec-z,1815.8158940152566,0.34639309600286333,0.34639309600286333,0.34639309600286333,85.02900727148416,23.04324001500359,0.0,0.0,1.9984014443252818e-16,1.3591727491100565e-308,1.3591727491100565e-308,1.3591727491100565e-308,0.0,0.0001243952035479095,341.7576,-5.2462,-,transient-like (c)
AT2025aimc,10,spec-z,3151.6429615517904,0.5600347508105195,0.5600347508105195,0.5600347508105195,88.77451317753122,27.968079030491037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.869026664758986e-05,350.1702,-12.5501,-,star offset from galaxy? (c)
AT2025aime,9,spec-z,1276.4206537662265,0.26463922780673044,0.26463922780673044,0.26463922780673044,90.13646721139769,26.092208894549987,5.5862788279794876e-226,0.0,0.0,2.1939525842195067e-114,2.1939525842195067e-114,2.1939525842195067e-114,5.665861872117577e-228,0.00033594830998550735,341.6254,-7.0032,0.233,nuclear (c)
AT2025aimg,6,photo-z,498.32386625728407,212.0498823845038,281.83227214709433,142.2674926219133,105.62031335155436,26.13520907146051,0.3131815012942341,0.517754694784247,0.21308601986189182,0.48785728533173656,0.46979309734561336,0.48785728533173656,0.3131815012942341,0.31318150129409783,10.5375,-41.0175,-,transient-like (c)
AT2025aimi,5,photo-z,662.310001,166.10228569874704,166.10228569874704,166.10228569874704,106.9167081848283,29.597303645853707,0.039094566679955936,0.05749455688042265,0.01013658312851493,0.09978107257116067,0.09978107257116067,0.09978107257116067,0.039094566679955936,0.039094566317705415,5.0418,-43.5832,0.179,transient-like (c)
AT2025aimj,2,photo-z,3023.8064488829486,4674.520475754017,2919.4038429219863,6429.637108586047,99.16179887479298,26.481874981221388,0.08666053571908895,,0.9950438299452482,0.6164577076561676,0.7415566234565614,0.6164577076561676,0.08666053571908895,0.08666053571908895,13.1101,-40.5702,0.13,"transient-like; nuclear (a,b)"
AT2025aiml,2,photo-z,7365.17561607589,1182.176431386294,1023.7828267848868,1340.5700359877012,105.14044184762368,26.414397370295745,7.378524321321247e-07,,2.4613511229176767e-11,0.00039334138707177807,0.0003933572217233005,0.00039334138707177807,7.378524321321247e-07,7.378524321321247e-07,4.8617,-35.0092,1.039,nuclear (c)
AT2025aimm,2,photo-z,2604.3913112696687,319.05286529877964,319.05286529877964,319.05286529877964,102.7176443093946,27.560102328998692,9.795815994825552e-08,1.8795808119758864e-07,2.4008794952123936e-12,9.386616463296199e-05,9.386616463296199e-05,9.386616463296199e-05,9.795815994825552e-08,9.795815994825552e-08,351.7215,-21.3579,-,transient-like (b)
AT2025aimo,2,photo-z,6067.265516072631,2437.6004698208844,2437.6004698208844,2437.6004698208844,93.08071762575777,24.85364385699948,0.031794739295863204,0.16495294115039247,0.9315385289046199,0.22043976013456734,0.22043976013456734,0.22043976013456734,0.031794739295863204,0.031794739295863204,350.4845,-21.584,-,transient-like (c)
AT2025aimk,7,photo-z,2784.829134492572,3302.483405548416,2665.1415706191788,3939.8252404776536,88.37807704929595,26.42750045616552,0.10347341605527573,,0.9707418112517945,0.6129626433584798,0.6619135750569518,0.6129626433584798,0.10347341605527573,0.10347341605527573,338.775,-3.2786,0.269,nuclear; transient-like (c)
AT2025aimp,2,photo-z,1390.22828,185.5409461812343,185.5409461812343,185.5409461812343,97.10016104515829,25.351598678325658,3.4431257075295128e-06,5.577696499229173e-06,3.0045020471547447e-09,0.0005550662227597608,0.0005550662227597608,0.0005550662227597608,3.4431257075295128e-06,3.443125710373051e-06,35.2965,-52.4648,-,transient-like (b)
AT2025aimn,7,spec-z,622.2892584394879,0.008057834753688955,0.008057834753688955,0.008057834753688955,89.30641461772727,29.227830057837586,1.848333262204066e-38,7.81255619248707e-37,6.188930518213101e-74,7.671549615249578e-20,7.671549615249578e-20,7.671549615249578e-20,5.095679004262384e-42,0.001918520213121375,349.9407,-11.7227,0.098,transient-like (b)
AT2025aimq,3,photo-z,4298.500601053332,2212.2917773122135,2022.9708473790913,2401.612707245336,91.03698393022246,25.0554627742012,0.051192909502208436,,0.9267230148618957,0.29841321632170004,0.3071713790919346,0.29841321632170004,0.051192909502208436,0.051192909502208436,33.1928,-54.7575,0.216,nuclear; transient-like (c)
AT2025aimr,4,photo-z,503.85413972928853,234.81568815787205,234.81568815787205,234.81568815787205,94.43900179055856,27.735941349228476,0.22881488957293658,0.38691659178170945,0.13801688143806615,0.38662112130798276,0.38662112130798276,0.38662112130798276,0.22881488957293658,0.22881488957291235,342.8701,-14.1804,-,transient-like; variable? (c)
AT2025aims,3,photo-z,556.7167599999999,163.06936456353534,163.06936456353534,163.06936456353534,98.44117936956376,28.829526934021214,0.08611454527826584,0.1262693005291188,0.0332142644125782,0.16645111044461558,0.16645111044461558,0.16645111044461558,0.08611454527826584,0.08611454459681253,14.8886,-41.2259,-,transient-like (c)
AT2025aimu,3,photo-z,2137.7828467655922,398.1305570804595,398.1305570804595,398.1305570804595,87.00138858197548,23.49539095289804,0.00046076376054334753,0.0010333419766808186,4.276743228359692e-06,0.010139344227286184,0.010139344227286184,0.010139344227286184,0.00046076376054334753,0.00046076376054334753,349.0499,-11.0721,0.264,"transient-like (a,b)"
AT2025aimt,3,photo-z,1075.8939465088044,359.71456776645294,958.3538483294693,-238.9247127965634,96.01373257689868,32.43038722532307,0.39836993680258503,,,0.6093941587298468,0.5793540768352591,0.6093941587298468,0.39836993680258503,0.39836993680258503,13.6167,-39.7345,-,nuclear (c)
AT2025aimv,3,photo-z,373.6085,4.310699557599767,4.310699557599767,4.310699557599767,89.30641461772727,29.227830057837586,4.7457408161068505e-11,8.827589810540653e-11,2.846328459551626e-22,1.49800040263233e-06,1.49800040263233e-06,1.49800040263233e-06,6.999309492354595e-12,0.005336021065301089,349.8256,-11.5522,0.422,transient-like (c)
AT2025aimx,4,photo-z,1091.254758,177.82696398121897,177.82696398121897,177.82696398121897,103.94694684467132,29.55185695232835,0.00031456749723064877,0.0004722351848969171,5.6836286128514326e-06,0.006172417609734534,0.006172417609734534,0.006172417609734534,0.00031456749723064877,0.0003145674978271566,6.9966,-45.6209,0.294,transient-like (c)
